name,popularity,explicit,duration_ms,uri,album_uri,isrc
Many the Miles,48,False,311173,spotify:track:03kCR9HZpX5muU7D8xYPOL,spotify:album:2Z9WUERfMjOgQ6ze9TcGbF,USSM10702219
Traffic light,58,False,231586,spotify:track:03qu1u4hDyepQQi2lNxCka,spotify:album:4lHGpxL8peLQSZRgl1Lssm,KRA382103803
No Hands (feat. Roscoe Dash & Wale),79,True,263773,spotify:track:03tqyYWC9Um2ZqU0ZN849H,spotify:album:6MQtWELG7aRX7CkAzQ6nLM,USWB11002103
MORE & MORE (English Version),45,False,199653,spotify:track:03wvlNaxFKB9sge4U6vyPE,spotify:album:4AXNnQf2SkyY8d4FQaBKo5,US5TA2000088
"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",71,False,152333,spotify:track:03xWMkKEbeO4SnylA53ipj,spotify:album:1l0aFrH24oPrQSqGtfeFyE,USWD11054836
Coppélia / Tableau 1: No. 4 Scène,0,False,114426,spotify:track:043cfi7SrTRdEoIcFs1i3e,spotify:album:7jKT8NC2XfAs9RFKsrGz2p,AUAB01850287
Sweet As Whole,35,True,277546,spotify:track:04BcODyhCDTV7SBFeJHOXe,spotify:album:1PrqYZJRzGNf8AsSOraxnZ,USSM11202313
South East Quarter,4,False,296493,spotify:track:04IcSgYzMaGKJsfYJ6cs8s,spotify:album:6azX9ZDZzVLjpQy6ytifne,USGR19905965
Les Poissons,45,False,95706,spotify:track:04LkB4linu702YDzlrQNDi,spotify:album:4aAwvCRNJIqiUGVEjieWv6,USWD10321080
"Piano Concerto No. 27 in B-Flat Major, K. 595: II. Larghetto",0,False,425440,spotify:track:04Vw5tlqRgimrmWnbuDI2O,spotify:album:3AYEvo7R1gY4O5xJuMwy3U,SEWDL0748202
Crazy Love,0,False,154560,spotify:track:04glHdRn4SgTADxKoKzOoO,spotify:album:0RXzDyBEGd2EGQTmv8cxQa,USWB19900490
Le Sacre du Printemps - Revised version for Orchestra (published 1947) / Part 1: The Adoration of the Earth: Spring Rounds,27,False,217226,spotify:track:04l27PkpdTLSNXE1ZHtlkA,spotify:album:317b74rpNBO2uhaJFyMaxJ,DEF056331704
Natural Disaster,38,False,210560,spotify:track:04nemEju86ULMJ1iy6EAsF,spotify:album:12dPqNFIdjiVFSHvtsDmzJ,US4DG1300061
GGBB,50,False,185786,spotify:track:04qiPs2ScJrI7hgQ8mz4im,spotify:album:3DZzeqdwhn9Q5ScxdaJbkH,KRA382301354
Moonlight,10,True,163015,spotify:track:057xGYST5exVyNevufrioZ,spotify:album:1Pp8t7yn2E3rz3R7ZqPn1O,QM6N22036181
The Lighthouse's Tale,43,False,301666,spotify:track:05HjafWVI238CLw5RDNkas,spotify:album:5SGG7graQOU3OnK3cZZCNd,USSH50084585
Hard To Handle,72,False,188066,spotify:track:05NYcsjJwOYq4jIiKPVj9p,spotify:album:2NRRQLuW6j3EsoWpIl2MR3,USSM19000343
Fire in the belly,66,False,198232,spotify:track:05RlBHEZg1RmL9DnPgv9Qq,spotify:album:4Oz7K9DRwwGMN49i4NbVDT,USA2P2310668
Rhiannon,78,False,252773,spotify:track:05oETzWbd4SI33qK2gbJfR,spotify:album:5VIQ3VaAoRKOEpJ0fewdvo,USWB19900188
"Brandenburg Concerto No. 6 in B flat, BWV 1051: 1. --",21,False,419760,spotify:track:05sFtfNGSjuKGld0YiL2ZM,spotify:album:11FzhwtOFCPB4vpgWo33xV,GBF076810661
