artist_uri,genre
spotify:artist:0uRdK8gy7fXJGRywrlmPM7,downtempo
spotify:artist:0uRdK8gy7fXJGRywrlmPM7,south african pop
spotify:artist:0uRdK8gy7fXJGRywrlmPM7,south african pop dance
spotify:artist:0uq5PttqEjj3IH1bzwcrXF,dance pop
spotify:artist:0uq5PttqEjj3IH1bzwcrXF,girl group
spotify:artist:0uq5PttqEjj3IH1bzwcrXF,pop
spotify:artist:0uzYuEP2MlAJ5FdVIYIalx,classical mezzo-soprano
spotify:artist:0vUnn6Eje2O5yxEj35touD,british choir
spotify:artist:0vUnn6Eje2O5yxEj35touD,chamber choir
spotify:artist:0vUnn6Eje2O5yxEj35touD,choral
spotify:artist:0xHa28taiElkcQf9o3z76g,israeli pop
spotify:artist:0xHa28taiElkcQf9o3z76g,jewish pop
spotify:artist:0xOeVMOz2fVg5BJY3N6akT,pop rap
spotify:artist:0xOeVMOz2fVg5BJY3N6akT,rap
spotify:artist:0yb46jwm7gqbZXVXZQ8Z1e,modern alternative rock
spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,neo mellow
spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,piano rock
spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,pop
spotify:artist:0zOcE3mg9nS6l3yxt1Y0bK,pop rock
spotify:artist:0zp9qNDSeYi3QEodhcKAAA,movie tunes
spotify:artist:0ztjVBmFk6OuHq6XBBwMI9,k-pop
spotify:artist:105Paee9vmV5rfLSG652e1,hollywood
spotify:artist:105Paee9vmV5rfLSG652e1,movie tunes
spotify:artist:108ugtkRFQzP9nGgNiyERO,gainesville indie
