name,uri,popularity,followers,image_url
Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,82,27894205,https://i.scdn.co/image/ab6761610000e5ebec05963eab63676a539fef13
Christopher Jackson,spotify:artist:6sLwRSXSUF5JTUnQaFenyj,63,35378,https://i.scdn.co/image/ab67616d0000b2735d3b0e4fd21345ec71529d85
BIBI,spotify:artist:6UbmqUEgjLA6jAcXwbM1Z9,65,480545,https://i.scdn.co/image/ab6761610000e5eb5233361075d4e8b0fdb3097c
Imogen Heap,spotify:artist:6Xb4ezwoAQC4516kI89nWz,58,405520,https://i.scdn.co/image/ab6761610000e5eb4622b02ee5bd6a21f50ca323
Crush,spotify:artist:6aLdhHUqgdKE86xbtNmY8g,63,1014098,https://i.scdn.co/image/ab6761610000e5eb228ae4321f2e45e6ec5a725a
HYOYEON,spotify:artist:0B3I6YgdnfXehUCpsO6oB8,35,232684,https://i.scdn.co/image/ab6761610000e5eb4cf17974946871ad6546f28e
Anne Hathaway,spotify:artist:0nIyPY7J7G68WgQEOLHn0x,49,43047,https://i.scdn.co/image/09f4a0a499359540e40075f8e912d7c3e94bc4a6
NAYEON,spotify:artist:1VwDG9aBflQupaFNjUru9A,71,503801,https://i.scdn.co/image/ab6761610000e5ebbb55fc616733b6c09d48481f
Felix of Stray Kids,spotify:artist:40zyx4iztMjRbIIoI802r4,53,25338,
The Bostonians,spotify:artist:0gW6hG0g7pVNbHgvmYwHDl,15,1708,https://i.scdn.co/image/ab6761610000e5eb8473502784cc95117c269f23
Maurice Duruflé,spotify:artist:7Fph7U6qidZ2E97xKKsD4m,29,5527,https://i.scdn.co/image/fe113227d3189286fc6639f316d729bfeb103c79
MAX CHANGMIN,spotify:artist:7FiAkNWMb6ZBYI8tbQLuIS,38,97048,https://i.scdn.co/image/ab6761610000e5ebf55b31064f94878f3da932c8
Krystian Zimerman,spotify:artist:43wuPaPcZVMJQWLRaPR4Yz,46,40314,https://i.scdn.co/image/ab6761610000e5eb501fa094147c4871549cdebd
Voices in Your Head,spotify:artist:44v8JgDySt9tkgfV3AWxBJ,27,7637,https://i.scdn.co/image/ab6761610000e5eb935384f680f653b00bc04c26
Vinson Cole,spotify:artist:2j6cP3f3TxyHzcKdWYSm6h,33,172,https://i.scdn.co/image/a97382fc1e98c5a755daf70d7a9355f673811707
Ellie Goulding,spotify:artist:0X2BH1fck6amBIoJhDVmmJ,78,11131141,https://i.scdn.co/image/ab6761610000e5eb3b52b798227f8e696f791d58
